time,lat,lon,depth,mag,magType,nst,gap,dmin,rms
2022-11-26T16:07:26.064Z,31.68803839,-104.4049837,6.080151367,3,ml,29,44,0.039354897,0.2
2022-11-26T14:37:18.438Z,38.001,-118.2323,4,2.6,ml,28,56.8,0.255,0.3335
2022-11-26T10:01:39.720Z,33.096,-117.9731667,1.96,2.51,ml,20,213,0.3849,0.16
2022-11-26T04:12:05.625Z,31.667,-104.4181,6.722,2.5,ml,31,107,0.07,0.34
2022-11-26T03:35:34.441Z,31.56777305,-104.0986106,6.118713379,3,ml,26,63,0.025438094,0.2
2022-11-26T03:15:51.420Z,36.7043343,-121.3336639,2.49,2.72,md,39,63,0.01078,0.11
2022-11-26T01:16:43.120Z,36.6430016,-121.2636642,6.53,2.77,md,45,66,0.05208,0.1
2022-11-25T23:34:04.929Z,48.0309,-69.6728,18.088,2.5,ml,10,138,0.653,0.19
2022-11-25T16:37:55.242Z,35.28646469,-98.00696564,5,3.21,ml,83,38.06674194,0.088531479,0.820183163
2022-11-25T14:17:37.967Z,31.6665,-104.4627,19.682,3.2,ml,20,119,0.033,0.79
2022-11-25T11:27:17.864Z,32.4416,-102.0542,5,2.7,mb_lg,24,58,0.247,0.41
2022-11-25T11:09:53.048Z,47.2602,-115.2696,15.941,2.6,ml,16,55,0.764,0.42
2022-11-25T03:29:50.909Z,37.2713,-97.9353,9.101,2.5,ml,28,104,0.183,0.29
2022-11-25T00:48:20.822Z,38.1701,-116.7331,2.1,2.6,ml,19,93.17,0.696,0.1599
2022-11-24T21:18:20.048Z,31.5695,-115.694,13.17,2.6,ml,21,86,0.194,0.61
2022-11-24T20:51:13.477Z,31.61248783,-104.0028423,7.712609863,3,ml,26,35,0.01468239,0.1
2022-11-24T20:50:46.383Z,31.61291112,-103.9793084,8.188208008,3,ml,21,42,0.009200613,0.1
2022-11-24T19:19:28.736Z,31.62158071,-103.9981778,7.93112793,4.9,ml,25,53,0.01679807,0.1
2022-11-24T19:14:19.623Z,31.62898962,-103.9815328,6.954223633,4.5,ml,26,48,0.021280327,0.1
2022-11-24T18:06:09.197Z,31.712,-104.453,5,2.7,mb_lg,17,125,0.059,0.37
2022-11-24T15:37:56.420Z,36.0043333,-120.5643333,4.14,2.51,md,64,46,0.02304,0.09
2022-11-24T07:20:55.050Z,33.0723343,-115.5863342,10.82,3.15,ml,76,43,0.03418,0.29
2022-11-24T07:18:11.198Z,31.657,-104.393,5,2.6,ml,26,112,0.093,0.48
2022-11-24T06:25:39.725Z,31.0122,-116.5181,10,4.2,mb,63,187,0.734,0.79
2022-11-23T22:34:02.290Z,37.2916667,-121.6641667,5.82,2.92,md,111,41,0.0334,0.08
2022-11-23T22:16:57.380Z,33.8768333,-117.7598333,3.34,2.61,ml,71,25,0.05408,0.23
2022-11-23T14:50:35.291Z,31.52836424,-104.0080874,6.735705566,2.7,ml,26,64,0.03978448,0.2
2022-11-23T13:38:09.700Z,35.6381667,-117.4441667,6.62,2.51,ml,34,74,0.1303,0.14
2022-11-23T08:05:12.187Z,31.6797273,-104.4108303,6.131567383,2.9,ml,11,77,0.012858608,0.2
2022-11-23T03:42:45.020Z,32.91,-115.9686667,9.87,2.57,ml,71,30,0.02312,0.21
2022-11-23T02:30:13.657Z,38.1864,-117.8655,6.3,3.5,ml,34,52.43,0.088,0.2189
2022-11-23T01:57:57.820Z,31.71635872,-104.5581962,7.828295898,3.6,ml,25,84,0.0254625,0.2
2022-11-22T23:31:31.671Z,38.3489,-115.8266,7.3,2.9,ml,10,175.49,0.707,0.1967
2022-11-22T23:28:15.666Z,38.322,-115.9271,4.8,2.8,ml,9,223.2,0.692,0.2048
2022-11-22T23:24:57.768Z,47.1331,-65.603,12.292,2.8,ml,16,89,0.343,0.36
2022-11-22T22:37:32.622Z,31.61543446,-103.9806647,7.494091797,2.5,ml,25,55,0.0111461,0.1
2022-11-22T21:51:18.205Z,31.60261979,-104.2379952,7.314135742,2.5,ml,40,70,0.072806866,0.2
2022-11-22T21:00:56.201Z,30.954,-116.486,10,4.5,mb,33,213,0.743,0.82
2022-11-22T19:29:16.130Z,32.2506667,-115.369,8.44,2.87,ml,24,221,0.1768,0.23
2022-11-22T19:08:14.772Z,31.72202186,-104.538867,6.234399414,2.7,ml,40,83,0.037358533,0.3
2022-11-22T16:39:05.692Z,30.7832,-116.3899,10,6.2,mww,150,166,0.799,0.7
2022-11-22T14:59:56.163Z,31.5651355,-104.0973856,6.131567383,2.6,ml,26,63,0.027547619,0.2
2022-11-22T12:04:53.910Z,41.5098333,-112.1785,7.2,2.81,ml,41,66,0.0968,0.18
2022-11-22T05:07:49.415Z,31.67840454,-104.5330249,6.131567383,2.8,ml,57,80,0.029198041,0.2
2022-11-21T02:52:42.018Z,37.9964,-118.2278,5.4,2.9,ml,25,52.77,0.273,0.1561
2022-11-21T00:52:14.363Z,38.3662,-115.8242,10.4,3,ml,29,60.54,0.725,0.2573
2022-11-21T00:05:43.378Z,31.72073247,-104.5270042,5.977319336,3.2,ml,47,82,0.002540981,0.2
2022-11-20T14:35:35.923Z,31.67402863,-104.2907317,7.828295898,2.5,ml,31,48,0.022155299,0.2
2022-11-20T07:13:29.469Z,31.67866353,-104.4980343,6.080151367,2.8,ml,25,67,0.010347066,0.2
2022-11-20T05:23:49.753Z,31.61467777,-104.0008352,9.319360352,2.5,ml,39,67,0.015321467,0.1
2022-11-20T02:10:25.319Z,31.52457686,-104.00686,6.645727539,2.6,ml,26,57,0.041596631,0.1
2022-11-19T21:49:22.100Z,35.5711667,-120.8061667,3.46,2.81,md,61,50,0.07011,0.09
2022-11-19T10:03:52.335Z,31.63489585,-104.0020069,7.468383789,4,ml,64,29,0.02022829,0.1
2022-11-19T04:15:41.720Z,34.1968333,-116.9511667,9.08,2.62,ml,104,23,0.07,0.15
