time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-26T20:34:31.669Z,43.7714,-105.3657,0,3.2,ml,21,80,1.022,0.55,us,us6000ing6,2022-12-03T22:02:24.040Z,Wyoming,mining explosion,5.27,1.583,0.042,76,reviewed,us,us
2022-09-26T19:09:32.929Z,43.5911,-105.2432,0,3.2,ml,22,78,1.022,0.59,us,us6000infq,2022-12-03T22:02:23.040Z,"26 km SE of Wright, Wyoming",mining explosion,3.84,1.716,0.053,46,reviewed,us,us
2022-09-24T20:33:26.866Z,43.526,-105.1766,0,3.1,ml,12,104,1.018,1.36,us,us7000iat3,2022-12-03T22:03:21.040Z,"35 km SE of Wright, Wyoming",mining explosion,5.11,1.802,0.057,46,reviewed,us,us
2022-09-23T21:58:05.775Z,43.7368,-105.4062,0,3.4,ml,11,101,1.062,0.66,us,us7000ialm,2022-11-26T20:58:00.040Z,Wyoming,mining explosion,4.1,1.519,0.043,72,reviewed,us,us
2022-09-15T21:26:23.615Z,44.0523,-105.3872,0,3.3,ml,20,97,0.976,1,us,us7000i8dk,2022-11-19T23:02:10.040Z,"20 km SSE of Antelope Valley-Crestview, Wyoming",mining explosion,5.63,1.862,0.048,58,reviewed,us,us
2022-09-15T19:01:43.307Z,45.232,-107.0818,0,3.3,ml,21,194,1.55,0.72,us,us7000i8cd,2022-11-19T23:02:10.040Z,"23 km ESE of Lodge Grass, Montana",mining explosion,3.54,1.687,0.047,60,reviewed,us,us
2022-09-14T18:09:41.426Z,43.6663,-105.2461,0,3.2,ml,19,75,0.986,0.72,us,us7000i82i,2022-11-19T23:02:10.040Z,Wyoming,mining explosion,6.35,1.66,0.046,62,reviewed,us,us
2022-09-12T18:16:38.972Z,44.0871,-105.3065,0,2.9,ml,17,101,0.916,1.36,us,us7000i7fb,2022-11-19T23:02:09.040Z,"19 km SSE of Sleepy Hollow, Wyoming",mining explosion,5.45,1.641,0.055,44,reviewed,us,us
2022-09-10T20:59:37.744Z,43.8033,-105.3207,0,3,ml,26,60,0.981,0.34,us,us6000iirr,2022-11-19T23:02:09.040Z,"14 km ENE of Wright, Wyoming",mining explosion,6.5,1.741,0.057,54,reviewed,us,us
2022-09-09T21:14:30.579Z,43.663,-105.3065,0,3.3,ml,9,126,1.026,0.17,us,us6000iiji,2022-11-15T19:05:54.040Z,"17 km ESE of Wright, Wyoming",mining explosion,4.63,1.721,0.053,47,reviewed,us,us
2022-08-29T19:02:48.524Z,43.7327,-105.3215,0,3.2,ml,16,129,1.007,1.27,us,us7000i3hk,2022-11-06T04:37:55.040Z,Wyoming,mining explosion,5.26,1.758,0.046,62,reviewed,us,us
2022-08-28T17:10:47.219Z,44.0567,-105.3558,0,3,ml,12,109,0.953,0.52,us,us7000i34z,2022-11-06T04:38:41.040Z,Wyoming,mining explosion,5.54,1.326,0.083,19,reviewed,us,us
2022-08-27T21:06:04.263Z,43.7698,-105.3341,0,3,ml,13,80,1.001,0.36,us,us7000i2yy,2022-11-06T04:39:14.040Z,"12 km E of Wright, Wyoming",mining explosion,3.7,1.747,0.064,42,reviewed,us,us
2022-08-11T20:31:52.027Z,44.1345,-105.4328,0,3.1,ml,20,74,1.006,1.2,us,us6000ia14,2022-10-21T23:20:38.040Z,"10 km SSE of Antelope Valley-Crestview, Wyoming",mining explosion,5.64,1.786,0.046,62,reviewed,us,us
2022-08-10T14:20:22.092Z,44.0568,-105.3876,0,2.6,ml,12,101,0.976,0.37,us,us6000i9pi,2022-10-21T23:20:11.040Z,"19 km SSE of Antelope Valley-Crestview, Wyoming",mining explosion,3.71,1.657,0.066,30,reviewed,us,us
2022-08-02T19:10:47.746Z,45.1258,-106.8307,0,3.3,ml,64,48,1.62,1.16,us,us6000i7j4,2022-10-12T14:48:38.040Z,"32 km SW of Birney, Montana",mining explosion,4.44,1.789,0.042,74,reviewed,us,us
2022-07-29T16:03:26.114Z,43.7838,-105.3103,0,3,ml,15,81,0.98,0.37,us,us6000i6jt,2022-10-01T22:09:20.040Z,"15 km ENE of Wright, Wyoming",mining explosion,7.29,1.71,0.049,54,reviewed,us,us
2022-07-26T18:35:22.479Z,43.7782,-105.2938,0,3.3,ml,51,53,0.971,0.65,us,us6000i5ns,2022-10-01T22:09:20.040Z,"16 km E of Wright, Wyoming",mining explosion,6.4,1.742,0.042,74,reviewed,us,us
2022-07-25T19:12:51.214Z,43.6138,-105.3787,0,3.2,ml,10,73,1.096,0.77,us,us7000hte1,2022-10-01T22:09:20.040Z,"17 km SSE of Wright, Wyoming",mining explosion,5.35,1.859,0.051,50,reviewed,us,us
2022-07-23T20:54:58.086Z,43.8268,-105.2508,0,2.9,ml,17,84,0.925,0.48,us,us7000ht0w,2022-10-01T22:09:20.040Z,"21 km ENE of Wright, Wyoming",mining explosion,5.39,1.706,0.051,58,reviewed,us,us
2022-07-23T00:21:42.069Z,43.8022,-105.6284,0,3.3,ml,28,82,1.193,1.06,us,us7000hsv7,2022-10-01T22:09:20.040Z,"12 km WNW of Wright, Wyoming",mining explosion,6.21,1.879,0.04,81,reviewed,us,us
2022-07-19T21:25:04.284Z,45.0802,-106.8804,0,3.4,ml,16,87,1.672,0.59,us,us7000hrwz,2022-09-27T16:56:51.040Z,"29 km NE of Ranchester, Wyoming",mining explosion,2.8,1.8,0.05,52,reviewed,us,us
