time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-02T21:49:43.940Z,36.2488327,-120.8466644,8.05,2.65,md,44,67,0.04927,0.13,nc,nc73813981,2022-12-02T21:56:14.209Z,"20km NE of San Lucas, CA",earthquake,0.26,0.55,0.17,44,automatic,nc,nc
2022-12-02T21:15:10.382Z,31.67545477,-104.4312481,5.10324707,3.2,ml,18,58,0.019299178,0.2,tx,tx2022xprp,2022-12-02T21:32:46.554Z,"55 km S of Whites City, New Mexico",earthquake,1.02359195,0.851310642,0.1,12,reviewed,tx,tx
2022-12-02T20:00:11.794Z,31.56717435,-104.0468534,6.645727539,2.9,ml,19,89,0.025516498,0.1,tx,tx2022xppa,2022-12-02T20:14:31.507Z,"36 km NW of Toyah, Texas",earthquake,0.620019774,0.543179939,0.1,14,reviewed,tx,tx
2022-12-02T15:31:44.996Z,31.61385453,-103.9717811,8.188208008,2.5,ml,22,54,0.004034709,0.1,tx,tx2022xpgg,2022-12-02T17:09:12.040Z,"36 km WSW of Mentone, Texas",earthquake,0.533686164,0.58194842,0.2,17,reviewed,tx,tx
2022-12-02T14:28:55.341Z,32.4307251,-102.0742426,9.757446289,3,ml,15,53,0.08580811,0.2,tx,tx2022xpee,2022-12-02T15:57:20.122Z,"35 km SSW of Los Ybanez, Texas",earthquake,0.88475344,1.557748315,0.2,18,reviewed,tx,tx
2022-12-02T13:08:06.010Z,34.432,-119.2843333,8.93,2.59,ml,44,52,0.03692,0.29,ci,ci40383632,2022-12-02T21:51:19.042Z,"4km WSW of Ojai, CA",earthquake,0.4,0.87,0.19,25,automatic,ci,ci
2022-12-02T12:21:48.910Z,37.1563333,-118.338,8.17,3.91,ml,29,109,0.08622,0.06,nc,nc73813816,2022-12-02T21:34:53.640Z,"4km WSW of Big Pine, CA",earthquake,0.51,0.77,0.178,155,reviewed,nc,nc
2022-12-02T10:36:11.990Z,37.4156667,-118.5341667,6.4,2.58,md,25,64,0.1727,0.05,nc,nc73813776,2022-12-02T21:45:16.138Z,"6km E of Round Valley, CA",earthquake,0.26,2.08,0.164,40,reviewed,nc,nc
2022-12-02T10:04:53.339Z,32.3973,-118.3006,10,2.8,ml,31,210,1.06,0.36,us,us6000j69g,2022-12-02T15:19:14.040Z,"104 km S of Avalon, California",earthquake,3.33,1.949,0.046,62,reviewed,us,us
2022-12-01T21:17:12.060Z,37.4145,-118.5321667,6.06,2.53,md,23,95,0.06605,0.07,nc,nc73813551,2022-12-02T12:40:56.154Z,"6km E of Round Valley, CA",earthquake,0.37,1.25,0.199,31,reviewed,nc,nc
2022-12-01T19:14:59.576Z,31.69946955,-104.1708528,6.131567383,2.7,ml,14,69,0.060377899,0.3,tx,tx2022xnsd,2022-12-01T21:34:53.454Z,,earthquake,0.975050664,1.2036179,0.3,11,reviewed,tx,tx
2022-12-01T15:28:29.660Z,32.8361667,-116.0403333,10.46,3.82,mw,79,43,0.06516,0.25,ci,ci40383192,2022-12-02T15:32:19.018Z,"12km NNW of Ocotillo, CA",earthquake,0.18,0.47,,4,reviewed,ci,ci
2022-12-01T14:59:49.587Z,31.61479245,-103.9658675,6.697143555,2.7,ml,16,68,0.004820225,0.1,tx,tx2022xnjs,2022-12-01T22:05:27.922Z,"36 km WSW of Mentone, Texas",earthquake,0.493279587,0.633046047,0.3,12,reviewed,tx,tx
2022-12-01T07:50:24.689Z,33.9609,-106.9294,6.264,3.6,ml,16,67,0.038,0.39,us,us6000j5yj,2022-12-02T08:38:18.894Z,New Mexico,earthquake,3.35,3.129,0.062,34,reviewed,us,us
2022-12-01T07:41:50.896Z,33.9689,-106.9125,5.594,2.7,ml,25,75,0.054,0.6,us,us6000j5yg,2022-12-01T20:56:29.405Z,,earthquake,5.63,2.26,0.105,12,reviewed,us,us
2022-11-30T12:09:32.900Z,39.0416667,-123.0855,4.14,2.72,md,80,58,,0.12,nc,nc73813076,2022-12-02T00:35:16.452Z,"12km SE of Talmage, CA",earthquake,0.13,0.65,0.242,62,reviewed,nc,nc
2022-11-30T04:33:53.415Z,31.60971654,-103.9723007,7.622631836,2.5,ml,14,65,0.045990912,0.1,tx,tx2022xkto,2022-11-30T16:30:25.896Z,"36 km NNW of Toyah, Texas",earthquake,0.741793949,1.186086862,0.1,11,reviewed,tx,tx
2022-11-30T03:18:29.548Z,31.64266733,-104.2259089,8.445288086,2.9,ml,36,66,0.044103851,0.2,tx,tx2022xkrb,2022-11-30T16:31:32.582Z,"54 km NW of Toyah, Texas",earthquake,0.707401267,1.10483081,0.2,26,reviewed,tx,tx
